full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,county,town,vil
桃園市中壢區石頭里,4901,2022-05-23 17:00:00,2022-05-23 17:00:00,92.0,92.0,92.0,232130.19652844276,桃園市,中壢區,石頭里
桃園市中壢區至善里,4954,2022-05-23 17:00:00,2022-05-23 17:00:00,98.0,98.0,98.0,384429.1110658319,桃園市,中壢區,至善里
桃園市中壢區興仁里,5036,2022-05-23 17:00:00,2022-05-23 17:00:00,89.0,89.0,89.0,469661.35286589543,桃園市,中壢區,興仁里
桃園市中壢區興仁里,5041,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,469661.35286589543,桃園市,中壢區,興仁里
桃園市中壢區金華里,5192,2022-05-23 17:00:00,2022-05-23 17:00:00,52.0,52.0,52.0,126065.08572068288,桃園市,中壢區,金華里
桃園市中壢區龍安里,5262,2022-05-23 17:00:00,2022-05-23 17:00:00,48.0,92.0,70.0,182555.54703845855,桃園市,中壢區,龍安里
桃園市中壢區龍安里,5263,2022-06-28 11:15:00,2022-06-28 11:15:00,86.0,86.0,86.0,182555.54703845855,桃園市,中壢區,龍安里
桃園市中壢區龍岡里,5390,2022-05-23 17:00:00,2022-05-23 17:00:00,95.0,95.0,95.0,1486248.5291681164,桃園市,中壢區,龍岡里
桃園市中壢區龍岡里,5389,2022-05-17 00:40:00,2022-05-17 02:30:00,13.0,14.0,13.823529411764707,1486248.5291681164,桃園市,中壢區,龍岡里
桃園市中壢區龍慈里,5463,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,484845.56066892995,桃園市,中壢區,龍慈里
桃園市中壢區龍興里,5525,2022-05-23 17:00:00,2022-05-23 17:00:00,90.0,90.0,90.0,550975.2811625052,桃園市,中壢區,龍興里
桃園市八德區大和里,5583,2021-07-30 13:15:00,2021-07-30 14:10:00,4.0,21.0,16.416666666666668,384792.5221844275,桃園市,八德區,大和里
桃園市八德區大和里,5590,2021-08-10 14:00:00,2021-08-10 17:40:00,4.0,24.0,15.0,384792.5221844275,桃園市,八德區,大和里
桃園市八德區大強里,5691,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,1127589.4693819983,桃園市,八德區,大強里
桃園市八德區大興里,5862,2022-05-23 17:00:00,2022-05-23 17:00:00,94.0,94.0,94.0,1673457.3232209026,桃園市,八德區,大興里
桃園市八德區大興里,5870,2022-06-28 11:15:00,2022-06-28 11:15:00,97.0,97.0,97.0,1673457.3232209026,桃園市,八德區,大興里
桃園市八德區白鷺里,5913,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,3525553.608711356,桃園市,八德區,白鷺里
桃園市八德區白鷺里,5915,2022-05-25 19:00:00,2022-05-25 19:15:00,2.0,21.0,13.25,3525553.608711356,桃園市,八德區,白鷺里
桃園市八德區白鷺里,5912,2021-08-10 14:05:00,2021-08-10 14:35:00,2.0,24.0,14.2,3525553.608711356,桃園市,八德區,白鷺里
桃園市八德區白鷺里,5910,2021-07-12 16:20:00,2021-07-12 16:40:00,7.0,23.0,16.6,3525553.608711356,桃園市,八德區,白鷺里
桃園市八德區白鷺里,5909,2021-06-07 15:30:00,2021-06-07 16:50:00,5.0,21.0,13.875,3525553.608711356,桃園市,八德區,白鷺里
桃園市八德區白鷺里,5911,2021-07-13 19:00:00,2021-07-13 19:10:00,10.0,16.0,13.666666666666666,3525553.608711356,桃園市,八德區,白鷺里
桃園市八德區福德里,5995,2022-05-23 17:00:00,2022-05-23 17:00:00,95.0,95.0,95.0,1271783.936979607,桃園市,八德區,福德里
桃園市八德區福德里,5997,2022-06-28 11:15:00,2022-06-28 11:15:00,99.0,99.0,99.0,1271783.936979607,桃園市,八德區,福德里
桃園市大園區埔心里,6254,2021-06-22 14:55:00,2021-06-22 17:25:00,1.0,52.0,24.928571428571427,18714646.053051796,桃園市,大園區,埔心里
桃園市大園區埔心里,6256,2021-08-04 16:35:00,2021-08-04 18:05:00,1.0,43.0,21.789473684210527,18714646.053051796,桃園市,大園區,埔心里
桃園市大園區埔心里,6261,2022-05-25 16:10:00,2022-05-25 20:25:00,5.0,61.0,24.41304347826087,18714646.053051796,桃園市,大園區,埔心里
桃園市大園區橫峰里,6344,2022-06-28 11:15:00,2022-06-28 11:15:00,99.0,99.0,99.0,4636503.404393972,桃園市,大園區,橫峰里
桃園市大園區橫峰里,6336,2022-05-23 17:00:00,2022-05-23 17:00:00,89.0,89.0,89.0,4636503.404393972,桃園市,大園區,橫峰里
桃園市平鎮區平南里,6476,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,803490.4858410694,桃園市,平鎮區,平南里
桃園市平鎮區義民里,6830,2022-05-23 17:00:00,2022-05-23 17:00:00,73.0,73.0,73.0,456233.2568395192,桃園市,平鎮區,義民里
桃園市平鎮區義民里,6837,2022-08-02 10:55:00,2022-08-02 15:25:00,1.0,30.0,10.26086956521739,456233.2568395192,桃園市,平鎮區,義民里
桃園市平鎮區莊敬里,6884,2022-05-23 17:00:00,2022-05-23 17:00:00,54.0,54.0,54.0,304134.1503604937,桃園市,平鎮區,莊敬里
桃園市平鎮區金星里,7001,2022-05-25 18:45:00,2022-05-25 19:15:00,5.0,14.0,11.285714285714286,505082.3298928374,桃園市,平鎮區,金星里
桃園市平鎮區金星里,7008,2022-08-02 10:55:00,2022-08-02 11:35:00,6.0,14.0,11.11111111111111,505082.3298928374,桃園市,平鎮區,金星里
桃園市新屋區永安里,7157,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,100.0,96.5,6030380.07814244,桃園市,新屋區,永安里
桃園市新屋區永興里,7203,2022-05-23 17:00:00,2022-05-23 17:00:00,52.0,52.0,52.0,4445604.246392119,桃園市,新屋區,永興里
桃園市新屋區笨港里,7355,2022-05-23 17:00:00,2022-05-23 17:00:00,98.0,98.0,98.0,5449396.555357592,桃園市,新屋區,笨港里
