full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,estimated_damage,estimated_damage_adjusted
桃園市大溪區南興里,8735,2020-10-11 00:00:00,2020-10-11 21:20:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8736,2020-10-12 00:00:00,2020-10-13 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8737,2020-10-13 07:50:00,2020-10-13 16:05:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8738,2020-10-14 00:00:00,2020-10-14 18:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8739,2020-10-15 00:00:00,2020-10-15 18:50:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8740,2020-10-16 00:00:00,2020-10-16 19:40:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8741,2020-10-17 00:00:00,2020-10-17 16:20:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8742,2020-10-18 00:00:00,2020-10-19 21:55:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8743,2020-10-20 00:00:00,2020-10-21 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8744,2020-10-21 06:30:00,2020-10-23 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8745,2020-10-23 05:25:00,2020-10-25 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8767,2020-11-23 00:00:00,2020-11-24 00:00:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市大溪區南興里,8768,2020-11-24 02:50:00,2020-11-24 10:10:00,98.0,98.0,98.0,7909796.114448795,1304186166.8609922,58834040085.68171
桃園市平鎮區平南里,8948,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,803490.4858410694,128508982.72064331,5797257195.998438
桃園市平鎮區義民里,9434,2022-05-23 17:00:00,2022-05-23 17:00:00,73.0,73.0,73.0,456233.2568395192,63946748.23844342,2884745786.151693
桃園市平鎮區莊敬里,9500,2022-05-23 17:00:00,2022-05-23 17:00:00,54.0,54.0,54.0,304134.1503604937,36914343.326835,1665268356.782926
桃園市新屋區永安里,9861,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,100.0,96.5,6030380.07814244,985359280.4644122,44451220905.96501
桃園市新屋區永興里,9915,2022-05-23 17:00:00,2022-05-23 17:00:00,52.0,52.0,52.0,4445604.246392119,530794477.56902766,23945035121.571873
桃園市新屋區笨港里,10163,2022-05-23 17:00:00,2022-05-23 17:00:00,98.0,98.0,98.0,5449396.555357592,898509582.5990927,40533284390.86151
桃園市桃園區中正里,10188,2020-08-27 14:00:00,2020-08-27 16:15:00,100.0,100.0,100.0,480600.5653852973,80193010.34019071,3617642101.1289163
桃園市桃園區大林里,10277,2020-08-27 14:00:00,2020-08-27 16:00:00,78.0,78.0,78.0,724784.3478058792,105170847.48645903,4744434509.496651
桃園市桃園區大林里,10311,2022-05-23 17:00:00,2022-05-23 17:00:00,68.0,100.0,88.33333333333333,724784.3478058792,112576404.03860039,5078511669.73378
桃園市桃園區大林里,10324,2022-06-28 11:15:00,2022-06-28 11:15:00,74.0,100.0,87.0,724784.3478058792,111620848.35445312,5035404939.380602
桃園市桃園區大樹里,10483,2022-06-28 11:15:00,2022-06-28 11:15:00,96.0,99.0,97.5,1213573.417014868,199496906.87624013,8999642316.691772
